id,réf,nom,epoque,epoque2,sexe,couleur_dominante,couleurs_autres,type,voile,quantite,lieu,bijoux
45,COI/45,Coiffe or avec voile et bijoux boutons,XII,,F,or,blanc,,oui,1,BCOI3,avec_bijoux
46,COI/46,Coiffe rose et broderies motif fleurs avec voile avec bijou,XV,XII,F,rose,or,,oui,1,BCOI3,avec_bijoux
47,COI/47,Coiffe gris avec voile et bandeau marron et blanc avec bijou losange et bijou,XII,XV,F,gris,blanc marron,,oui,1,BCOI3,avec_bijoux
48,COI/48,Coiffe verte avec bandeau vert clair et perles orange,XII,XV,F,vert,or orange,,non,1,BCOI3,avec_bijoux
49,COI/49,Coiffe marron clair avec voile et bandeau marron foncé et pièce bijou,XII,,F,marron,blanc,,oui,1,BCOI3,avec_bijoux
50,COI/50,Coiffe bleu foncé velours avec voile et bijou croix au centre et bijou trait sur les cotés,XII,,F,bleu,blanc,,oui,1,BCOI3,avec_bijoux
51,COI/51,Mentonnière blanche tube,XII,,F,blanc,,,non,3,BCOI3,sans_bijoux
52,COI/52,Coiffe rouge avec voile et perles noires et transparentes,XII,XV,F,rouge,noir blanc,,oui,1,BCOI3,avec_bijoux
53,COI/53,Coiffe bleu canard avec voile et bandeau bleu et blanc avec perles au centre,XII,,F,bleu,blanc,,oui,1,BCOI3,avec_bijoux
54,COI/54,Coiffe blanche avec ruban rose (et epingle a nourrice ),XII,,F,blanc,rose,,non,1,BCOI3,sans_bijoux
55,COI/55,Mentonnière en voile à épingler,XII,,F,blanc,,,non,2,BCOI3,sans_bijoux
56,COI/56,Voile disponible pour une coiffe,XII,XV,F,blanc,,,oui,2,BCOI3,sans_bijoux
57,COI/57,Coiffe verte foncé avec voile et ruban vert et perles blanches,XII,XV,F,vert,blanc,,oui,1,BCOI4,avec_bijoux
58,COI/58,Coiffe dur en bronze avec 2 bandeaux noirs et pièce au centre et bijoux,XII,,F,bronze,noir,,non,1,BCOI4,avec_bijoux
59,COI/59,Coiffe bleu foncé avec voile et bijou or et perles grises au centre,XII,,F,bleu,or gris blanc,,oui,1,BCOI4,avec_bijoux
60,COI/60,Coiffe bleu foncé avec voile et bandeau bleu en plus foncé et perles blanches,XII,,F,bleu,blanc,,oui,1,BCOI4,avec_bijoux
61,COI/61,Coiffe motifs rouges avec voile et bandeau blanc avec perles rouges dessus et bijou,XII,XV,F,mordoré,blanc,,oui,1,BCOI4,avec_bijoux
